鸦 鴉 [āa] "a crow"    
黄马褂 黃馬褂 "[wòhng máah kwáa]" "an employee who is related to the boss, an employee who enjoys the special favour of the boss"    
黄面婆 黃面婆 "[wòhng mihn pòh]" "one's wife, the ""old lady"""    
黄牛 黃牛 "[wòhng ngàuh]" "(yellow cow)a dealer in tickets, a ticket tout"    
黄牛飞 黃牛飛 "[wòhng ngàuh fēi]" "(yellow cow ticket)a ticket scalper, a ticket tout"    
黄皮树了哥 黃皮樹了哥 "[wòhng péi syuh līu gō]" "a mynah bird in a whampee tree→唔熟唔食 [m4 suhk m4 sihk]  not ripe doesn't eat■to take advantage of family or friends (a ""sandwish pun"" in which the first stands for the second, sinc 熟 suhk means both ""ripe"" and ""acquainted, familiar"")."    
皇 皇 [wòhng] "a king"    
皇帝唔急太监急 皇帝唔急太監急 "[wòhng dai m4 gāp taai gaam gāp]" "(the emperor is not in a hurry but the eunuchs are)to be more anxious about someone's business than the person concerned"    
皇帝女唔忧嫁 皇帝女唔憂嫁 "[wòhng dai néui m4 yāu gaa]" "(the emperor's daughter no need to worry about her marriage)in great demand"    
皇家饭 皇家飯 "[wòhng gāa faahn]" "(the crown's food)prison food, ""porridge"""    
皇后 皇后 "[wòhng hauh]" "1. empress2. a woman who is outstanding in a particular field or who has distinguished herself in some way (often used ironically or satirically)"    
皇气 皇氣 "[wòhng hei]" "the police" " the police officer"   
皇牌 皇牌 "[wòhng pàaih]" "the police"    
王 王 [wòhng] "1. a king2. a man who is outstanding in a particular field or who has distinguished himself in some way (often used ironically or satirically)."    
王子 王子 "[wòhng jí]" "1. a prince2. a police motorcyclist"    
王老五 王老五 "[wòhng lóuh ńgh]" "(king old five)a bachelor, an unmarried man"    
旺 旺 [wohng] busy    
旺钟 旺鐘 "[wohng jūng]" "busy with customers (prostitute)"    
污 污 [wū] dirty    
污糟 污糟 "[wū jōu]" dirty    
污糟邋遢 污糟邋遢 "[wū jōu laaht taat]" "1. dirty2. evil , corrupt3. ghosts, spirits, demons, and related matters"    
污糟猫 污糟貓 "[wū jōu māu]" "(dirty cat)an untidy person, a messy, sloppy person"    
污烟障气 污煙障氣 "[wū yīn jeung hei]" "chaos, a chaotic situation, a mess"    
乌 烏 [wū] "1. dark2. black"    
乌啄啄 烏啄啄 "[wū dēung dēung]" "stupid, slow-witted, ""brainless"""    
乌龟 烏龜 "[wū gwāi]" "1. a police officer2. a pimp3. a cuckold"    
乌吓乌吓 烏吓烏吓 "[wū háah wū háah]" "messy, sloppy, untidy, badly dressed, stupid looking"    
乌厘单刀 烏厘單刀 "[wū lēi dāan dōu]" "disorder, chaos, muddle"    
乌喱马杈 烏喱馬杈 "[wū lēi máah cháah]" "poorly produced, messily written"    
乌龙 烏龍 "[wū lúng]" "absent-minded, muddle-headed, scatter-brained"    
乌眉恰睡 烏眉恰睡 "[wū mèih hāp seuih]" "(crow eyebrows falling asleep)to sleep"    
乌纱 烏紗 "[wū sāa]" "the police cap (police jargon)"    
乌瀡瀡 烏瀡瀡 "[wū séu séu]" "1. stupid, ""brainless""2. an ignorant person, a ""know nothing"""    
乌蝇 烏蠅 "[wū yīng]" flies    
乌蝇搂马尾 烏蠅摟馬尾 "[wū yīng lāu máah méih]" "→一拍兩散 [yāt paak léuhng saan]  one blow disperses two ■to break up a joint enterprise or relationship when neither party comes out a winner (sometimes used as a threat during a negotiation)."    
胡 鬍 [wùh] "a beard"    
胡须佬 鬍鬚佬 "[wùh sōu lóu]" "a man with a beard"    
蝴蝶刀 蝴蝶刀 "[wùh dihp dōu]" "a butterfly knife, a knife with rotating blades"    
糊涂 糊塗 "[wùh tòuh]" "muddle-headed, foolish, confused"    
糊涂虫 糊塗蟲 "[wùh tòuh chùhng]" "a fool, a muddle-headed person"    
狐狸精 狐狸精 "[wùh lèih jīng]" "(fox spirit)a seductress, a sexually promiscuous woman (particularly in the context of a woman seducing a married man)"    
孤仙 孤仙 "[wùh sīn]" "(fox spirit)someone with armpit order"    
换 換 [wuhn] "to change"    
换画 換畫 "[wuhn wáa]" "to change one's lover frequently"    
猥琐 猥瑣 "[wūi só]" "vulgar, lecherous "    
会 會 [wúi] "a club"    
会仔 會仔 "[wúi jái]" "members of an informal group who pool their savings"    
会头 會頭 "[wúi tàuh]" "the head of an informal group who pool their savings"    
回 回 [wùih] "1. to return2. to reply"    
回扣 回扣 "[wùih kau]" "to pay damages, to compensate for injury caused"    
回流 回流 "[wùih làuh]" "(back flow)Hong Kong people who return to Hong Kong after getting a foreign passport"    
回力刀 回力刀 "[wùih lihk dōu]" "1. boomerang2. a senior police constable"    
回水 回水 "[wùih séui]" "to refund"    
回塘 回塘 "[wùih tòhng]" "to return to a decent trade or a honest occupation"    
回佣 回佣 "[wùih yúng]" "to offer a discount on commission to a customer"    
也文也武 也文也武 "[yàah màhn yàah móuh]" "(a scholar and a warrior)to act in a boastful manner, to flaunt one's power"    
也 也 [yáah] also    
也门 也門 "[yáah mùhn]" Yemen    
廿 廿 [yaah] twenty    
吔 吔 [yaak] "to eat"    
吃 喫 [yaak] "to eat"    
吔饭 吔飯 "[yaak faan]" "to eat"    
吔蕉 吔蕉 "[yaak jīu]" "1. to eat banana2. an aggressive and vulgar expression used to express contempt or to tell someone to leave, ""go screw yourself"", ""suck dick!""3. to perform fellatio"    
吔茄 吔茄 "[yaak kē]" "1. eat shit2. a vulgar way of expressing hostility, strong irritation, ""piss off!""."    
吔屎 吔屎 "[yaak sí]" "a vulgar way of expressing used to express contempt or to tell someone to leave, ""go eat shit"", ""eat shit and die!""."    
Yap Yap [yaap] "1. no good, bad, low quality2. ugly, bad-looking"    
淫 淫 [yàhm] lewd    
淫虫 淫蟲 "[yàhm chùhng]" "(lewd insect)a sexually immoral person"    
淫棍 淫棍 "[yàhm gwan]" "a man who is obsessed with sex, a man always on the look-out for sex"    
淫贱 淫賤 "[yàhm jihn]" "promiscuous, obsessed with sex"    
淫魔 淫魔 "[yàhm mō]" "(lewd devil)sex-maniac, lecherous person"    
淫煤 淫煤 "[yàhm mùih]" "a go-between introducing sexual partners to rich people for commisson"    
人 人 [yàhn] "a person"    
人版 人版 "[yàhn báan]" "a vulgar person, a person of bad character, a low-life"    
人不为己，天诛地灭 人不為己，天誅地滅 "[yàhn bāt waih géi, tīn jyū deih miht]" "(if one doesn't look after oneself heaven and earth will destroy one)the devil take the hindmost"    
人比人，比死人 人比人，比死人 "[yàhn béi yàhn, béi séi yàhn]" "(it is fatal to compare a person with another)used to suggest that it is harmful to compare oneself with others (e.g. in terms of wealth)"    
人蠢冇药医 人蠢冇藥醫 "[yàhn chéun móuh yeuhk yī]" "there is no cure for stupidity"    
人情薄过纸 人情薄過紙 "[yàhn chìhng bohk gwo jí]" "(human decency is thinner than paper)human decency is rare in relationships between people"    
人情纸咁薄 人情紙咁薄 "[yàhn chìhng jí gam bohk]" "(human decency is as thin as paper)human decency is rare in relationships between people"    
人哋 人哋 "[yàhn deih]" "(other people)I, myself (e.g. as used by young women, stereotypically, in complaints to their boyfriend)."    
人地 人地 "[yàhn deih]" "(other people)I, myself (e.g. as used by young women, stereotypically, in complaints to their boyfriend)."    
人多手脚乱 人多手腳亂 "[yàhn dō sáu geuk lyuhn]" "(if there are too many people, they will get in a tangle)where there are too many people involved in one task, it leads to chaos, ""too many cooks spoil the broth""."    
人间蒸发 人間蒸發 "[yàhn gāan jīng faat]" "to disappear without trace, to vanish"    
人夹人缘 人夾人緣 "[yàhn gaap yàhn yùhn]" "whether people get along with one another or not depends on the compatibility of their characters."    
人讲你又讲 人講你又講 "[yàhn góng néih yauh góng]" "(people say something, and you also say it)to repeat mindlessly what other people say, to ""parrot""."    
人气 人氣 "[yàhn hei]" popularity    
人渣 人渣 "[yàhn jāa]" "(human dregs)a person of low character; people of low character, ""scum"""    
人在江湖，身不由己 人在江湖，身不由己 "[yàhn joih gōng wùh, sān bāy yàuh géi]" "a saying which implies that one's life is bound by rules, that one does not have freedom to act"    
人面广 人面廣 "[yàhn mín gwóng]" "to be well connected, to have influential friends"    
人面广阔 人面廣闊 "[yàhn mín gwóng fut]" "to be well connected, to have influential friends"    
人山人海 人山人海 "[yàhn sāan yàhn hói]" "(people mountain, people sea)crowds of people"    
人细鬼大 人細鬼大 "[yàhn sai gwái daaih]" "(man small, ghost big)a young boy or girl with the mind and maturity of an adult, to be precocius"    
人心肉造 人心肉造 "[yàhn sām yuhhk jouh]" "(human heart is made of flesh)people are by nature compassionate"    
人心肉做 人心肉做 "[yàhn sām yuhhk jouh]" "(human heart is made of flesh)people are by nature compassionate"    
人蛇 人蛇 "[yàhn sèh]" "an illegal immigrant"    
人算不如天算 人算不如天算 "[yàhn syun bāt yùh tīn syun]" "(human reckoning is poorer than heavenly reckoning)circumstances often defeat human expectations, thing do not always go as one expects"    
人头猪脑 人頭豬腦 "[yàhn tàuh jyū nóuh]" "(human head pig's brain)stupid, idiotic"    
人头涌涌 人頭湧湧 "[yàhn tàuh yúng yúng]" "(a sea of heads)a mass of people"    
人一世，物一世 人一世，物一世 "[yàhn yāt sai, maht yāt sai]" "(man has one life, objects have one life)used when gathering the courage to try something new, ""you only live once""."    
人又老，钱又冇 人又老，錢又冇 "[yàhn yauh lóuh, chín yauh móuh]" "old and poor"    
人有三急 人有三急 "[yàhn yáuh sāam gāp]" "to need to go to the toilet"    
人妖 人妖 "[yàhn yíu]" "a transvestite" " a transexual"   
人肉打桩机 人肉打樁機 "[yàhn yuhk dáa jōng gēi]" "(human pile driver)a man who is sexually vigorous or powerful, a ""sex machine""."    
引 引 [yáhn] "to attract"    
引狼入室 引狼入室 "[yáhn lòhng yahp sāt]" "(to lure the wolf into the house)to bring disaster on oneself, to court disaster, to play with fire"    
瘾 癮 [yáhn] "an addiction"    
瘾到 癮到 "[yáhn dou]" "(addiction arriving)to being to feel the urge to take drugs"    
瘾嚟 癮嚟 "[yáhn làih]" "(addiction coming)to feel the urge coming on to take drugs"    
入 入 [yahp] "1. to enter2. to charge (with a crime)"    
入册 入冊 "[yahp chaak]" "(to enter the register)to be sentenced to prison"    
入厕所 入廁所 "[yahp chi só]" "to enter toilet"    
入厂 入廠 "[yahp chóng]" "(to enter factory)to enter hospital, to be hospitalised"    
入厂大修 入廠大修 "[yahp chóng daaih sāu]" "(to enter the factory for serious repair)to be hospitalised for a serious illness or injury"    
入电油 入電油 "[yahp chóu lùhng]" "1. to put in gasoline2. to take drugs"    
入柜 入櫃 "[yahp gwaih]" "1. to put in the cupboard2. to hide drugs in the anus"    
入闸 入閘 "[yahp jaahp]" "1. to enter the gate2. a prostitute beginning a session with a client"    
入咗 入咗 "[yahp jó]" "1. entered2. to be convicted of a crime"    
入笼 入籠 "[yahp lùhng]" "(to enter cage)to go to prison"    
入屋叫人，人庙拜神 入屋叫人，人廟拜神 "[yahp ngūk giu yàhn, yahp míu baai sàhn]" "(on entering a house, one says a greeting; on entering a temple, one worships the gods)one should follow the customs of the place one is in, ""when in Rome, do as the Romans do""."    
入精 入精 "[yahp sàhn]" "to be enthralled"    
入心入肺 入心入肺 "[yahp sām yahp fai]" "(to enter heart and to enter lung)to feel deeply (e.g. of pain), to take something to heart"    
入城 入城 "[yahp séng]" "to go to the city"    
入数 入數 "[yahp sou]" "1. to deposit2. to put the blame on, to hold responsible for"    
入会 入會 "[yahp wúi]" "1. to join association2. to join a triad society"    
入夜 入夜 "[yahp yeh]" "(to enter night)the nighttime"    
入肉 入肉 "[yahp yuhk]" "(to go into the flesh)moving, realistic, powerful (used of a performance)"    
日 日 [yaht] day    
日防夜防，家贼难防 日防夜防，家賊難防 "[yaht fòhng yeh fòhng, gāa chaahk nàahn fòhng]" "(one can defend night and day but it is hard to defend against a thief from one's own family)it is difficult to defend against a dishonest or treacherous insider."    
日光日白 日光日白 "[yaht gwōng yaht baahk]" "in broad daylight (used when something bad is done in the public eye)."    
日鹅夜鹅 日鵝夜鵝 "[yaht ngòh yah ngòh]" "(day nag night nag)to nag day and night"    
日哦夜哦 日哦夜哦 "[yaht ngòh yah ngòh]" "(day nag night nag)to nag day and night"    
日头唔好讲人，夜晚唔好讲鬼 日頭唔好講人，夜晚唔好講鬼 "[yaht táu m4 hóu góng yàhn, yeh máan m4 hóu góng gwái]" "(by day don't talk about people, by night don't talk about ghost)used when someone one has been talking about or gossiping against appears, ""speak of the devil and he comes running""."    
曳 曳 [yáih] "bad, naughty, wicked, harmful, noxious [jaih]to drag"    
阴 陰 [yām] "1. to betray2. to cheat3. to trick4. mysterious5. dark"    
阴毒 陰毒 "[yām duhk]" evil-hearted    
阴乾 陰乾 "[yām gōn]" "(drying in the shadows)1. to let something or someone decline through neglect2. to dry up, to starve of funding or support2. to use up, to waste (money, allowance)"    
阴功 陰功 "[yām gūng]" "1. pitiful2. a shmae"    
阴公 陰公 "[yām gūng]" "1. pitiful2. a shmae"    
阴质嘢 陰質嘢 "[yām jāt yéh]" "(secret dirt)immoral things one has done"    
阴湿 陰濕 "[yām sāp]" "treacherous, untrustworthy"    
阴声细气 陰聲細氣 "[yām sēng sai hei]" "(soft voice and small breath)1. to speak with a quiet and creepy voice2. to speak softly and tenderly"    
阴阴嘴笑 陰陰嘴笑 "[yām yām jéui siu]" "to suppress a smile" " to smirk"   
饮 飲 [yám] "to drink"    
饮饱食醉 飲飽食醉 "[yám báau sihk jeui]" "(drinking one's fill and eating oneself drunk)a feeling of satisfaction after a good meal and many drinks"    
饮大 飲大 "[yám daaih]" "(to drink big)to drink a large amount" " to drink and get drunk"   
饮得杯落 飲得杯落 "[yám dāk būi lohk]" "(able to down a glass)used to express relief or joy that a crisis is over, or used when something delightful happens"    
饮到大大哋 飲到大大哋 "[yám dou daaih dáai déi]" "to get a large amount, to drink and get drunk"    
饮到大大地 飲到大大地 "[yám dou daaih dáai déi]" "to get a large amount, to drink and get drunk"    
饮咖啡 飲咖啡 "[yám ga fē]" "1. to drink coffee2. to be interrogated by the police or by the Independent Commission Against Corruption (ICAC)."    
饮歌 飲歌 "[yám gō]" "(drinking song)a song specially practised for Karaoke sessions, someone's favourite or best song in Karaoke, someone's ""special number"""    
饮闷酒 飲悶酒 "[yám muhn jáu]" "to drink alone"    
饮奶 飲奶 "[yám náaih]" "1. to drink milk2. to receive lessons, to get instruction, to study, to learn"    
因 因 [yān] because    
因住 因住 "[yān jyuh]" "1. an exclamation, telling someone to be careful, ""watch out!""2. to estimate, to guess"    
忍 忍 [yán] "to tolerate"    
忍者龟 忍者龜 "[yán jé gwāi]" "uniformed police"    
忍屎忍尿好过忍你 忍屎忍尿好過忍你 "[yán sí yán niuh hóu gwo yán néih]" "(putting up with shit and piss is better than putting up with you)a vulgar and insulting expression of contempt, ""you are the pits!"", ""you are the scum of the earth!"""    
印度神油 印度神油 "[yan douh sàhn yàuh]" "(Indian God oil)an aphrodisiac oil (for men)"    
壹 壹 [yāt] one    
一 一 [yāt] one    
一把火 一把火 "[yāt báa fó]" "extremely angry, filled with rage"    
一笔OUT销 一筆OUT銷 "[yāt bāt āu sīu]" "(you are out the game)a slogan used in the Hong Kong version of the quiz show ""The Weakest Link"", a play on the phrase 一筆勾銷 yāt bāt āu sīu."    
一笔勾销 一筆勾銷 "[yāt bāt āu sīu]" "everything is cancelled" " to eliminate at one stroke" " all debts are paid off"  
一笔还一笔 一筆還一筆 "[yāt bāt wàahn yāt bāt]" "(one sum belongs to one sum)to treat two things separately, to argue that two things should be treated separately"    
一本通书睇到老 一本通書睇到老 "[yāt bún tūng syū tái dou lóuh]" "(reading the same almanac into old age)rigid, inflexible"    
一沉百踩 一沉百踩 "[yāt chàhm baak cháai]" "(when someone has fallen, a hundred others will stomp on them)once someone falls from power, other people are eager to criticise or exploit them."    
一抽二0能 一抽二0能 "[yāt chāu yih lang]" "(pulling one, and dragging two others)1. carrying lots of different things2. to have lots of family responsibility (e.g. looking after aged parents, children, etc.)"    
一抽二lung 一抽二lung "[yāt chāu yih lang]" "(pulling one, and dragging two others)1. carrying lots of different things2. to have lots of family responsibility (e.g. looking after aged parents, children, etc.)"    
一抽二lun 一抽二lun "[yāt chāu yih lang]" "(pulling one, and dragging two others)1. carrying lots of different things2. to have lots of family responsibility (e.g. looking after aged parents, children, etc.)"    
一次生两次熟 一次生兩次熟 "[yāt chi sāang léuhng chi suhk]" "(first raw second cooked)1. people get used to things quickly2. things that are hard at first become easier3. people gain experience quickly"    
一矢双雕 一矢雙鵰 "[yāt chí sēung dīu]" "(one arrow two eagles)1. kill two birds with one stone2. one man having sex with two women"    
一啖砂糖一啖屎 一啖砂糖一啖屎 "[yāt daahm sāa tòhng yāt daahm sí]" "(a taste of sugar and another of shit)to describe someone treats another person as alternating between being nice and being nasty"    
一担担 一擔擔 "[yāt daam dāam]" "similar; two of a kind; ""birds of a feather"""    
一朵鲜花插在牛粪上 一朵鮮花插在牛糞上 "[yāt dó sīn fāa chaap joih ngàuh fan seuhng]" "(a fresh flower stuck in cow shit)a beautiful woman with an ugly or unattractive man"    
一刀两断 一刀兩斷 "[yāt dōu léuhng dyuhn]" "(one cut two pieces)to make a clean break, to end a relationship, to have nothing more to do with"    
一戙都冇 一戙都冇 "[yāt duhng dōu móuh]" "(not a single pile left)left speechless, utterly defeated; with no money left, ""cleaned out"" (especially in gambling)"    
一家便宜两家着 一家便宜兩家著 "[yāt gāa pìhn yìh léuhng gāa jeuhk]" "(one familiy wins, two families benefit)to do something which is beneficial to both parties, a ""win-win situation""."    
一鸡死一鸡鸣 一雞死一雞鳴 "[yāt gāi séi yāt gāi mìhng]" "(one chicken died, one chicken crow)when one person leaves a business or an occupation, another will take it up."    
一旧饭 一舊飯 "[yāt gauh faahn]" "(a lump of cooked rice)a stupid person, an idiot, a ""stupid lump""."    
一颈血 一頸血 "[yāt géng hyut]" "(one neck blood)to lose a great deal of money"    
一句讲晒 一句講晒 "[yāt geui góng saai]" "1. an instruction for someone to get to the main point, to clarify what they want to say: ""spit it out!"", ""get on with it"", ""don't beat about the bush!""2. to be brief, to speak directly to the point"    
一句唔该使死人 一句唔該使死人 "[yāt geui m4 gōi sái séi yàhn]" "(one utterance of thank you and working someone to death)to make excessive demand on someone without offering reasonable reward."    
一脚踏几船 一腳踏幾船 "[yāt geuk daahp géi syùhn]" "(one foot stepping on several boats)to have more than one lovers, to be involved with several lovers at the same time."    
一脚踏两船 一腳踏兩船 "[yāt geuk daahp léuhng syùhn]" "(one foot stepping on two boats)to be torn between two lovers, to have two lovers, to be involved with two lovers at the same time"    
一脚牛屎 一腳牛屎 "[yāt geuk ngàuh sí]" "(legs covered in bull shit)a country cousin, a ""country bumpkin""."    
一脚踢 一腳踢 "[yāt geuk tek]" "(one leg kick)1. someone who gets things done on their own2. a one-person operation, a ""jack-of-all trades"""    
一哥 一哥 "[yāt gō]" "(number one brother)1. a boss, a chief2. the Hong Kong police commissoner3. the Macau police commissioner4. a triad leader"    
一个愿打，一个愿捱 一個願打，一個願捱 "[yāt go yuhn dáa, yāt go yuhn ngàaih]" "(one likes to hit, one likes to suffer)a well-matched couple, a couple whose traits complement each other."    
一讲曹操，曹操就到 一講曹操，曹操就到 "[yāt góng chòuh chōu, chòuh chōu jauh dou]" "(if you mention Tsao Tsao he will appear)if you mention something or someone by name it/they may appear, ""talk of the devil"", ""speak of the devil and he comes running""."    
一国两制 一國兩制 "[yāt gwok léuhng jai]" "1. one country two systems2. a message parlour which offers both sexual services and ordinary massage"    
一蟹不如蟹 一蟹不如蟹 "[yāt háaih bāt yùh yāt háaih]" "(one crab is worse than the other)a declining quality from one generation, class, appointee, etc., to the next"    
一口咬定 一口咬定 "[yāt háu ngáauh dihng]" "(to bite and hold)to be extremely firm in putting forward one's view, to hold firm to one's stance"    
一壳眼泪 一殼眼淚 "[yāt hok ngáahn leuih]" "(a ladle of tears)1. to be tearful and distraught2. to suffer a tragedy"    
一就一，二就二 一就一，二就二 "[yāt jauh yāt, yih juah yih]" "(one should be one and two should be two)things should be made completely clear" " distinctions should be clearly made"   
一只履 一隻履 "[yāt jek kehk]" "(like a clog)to work very hard, to work ""like a dog"""    
一只二只 一隻二隻 "[yāt jek yih jek]" "naughty rascals, naughty young children"    
一字咁钱 一字咁錢 "[yāt jih gam chín]" "(as easy as character one)extremely simple, very easty, ""as easy as 1-2-3"", ""as easy as ABC""."    
一箭双雕 一箭雙鵰 "[yāt jin sēung dīu]" "(to kill two birds of prey with one arrow)1. kill two birds with one stone2. one man having sex with two women"    
一竹篙打一船人 一竹篙打一船人 "[yāt jūk gōu dáa yāt syùhn yàhn]" "to overgeneralise in assigning blame, e.g. to blame a whole group of people for one person's mistake."    
一流 一流 "[yāt làuh]" "high quality, top class, the best"    
一楼一 一樓一 "[yāt làuh yāt]" "a one-woman vice establishment, one woman brothel (legal in Hong Kong)"    
一楼一鳯 一樓一鳯 "[yāt làuh yāt fúng]" "(one floor one phoenix)a one-woman vice establishment, one woman brothel (legal in Hong Kong)"    
一楼一架步 一樓一架步 "[yāt làuh yāt gaa bouh]" "a one-woman vice establishment, one woman brothel (legal in Hong Kong)"    
一理通，百理明 一理通，百理明 "[yāt léih tūng, baak léih mìhng]" "(understanding one idea makes a hundred ideas comprehensible)once one has mastered the basic idea, the rest is easy."    
一轮嘴 一輪嘴 "[yāt léun jéui]" "(one rotating mouth)to talk continuously"    
一碌鸠 一碌鳩 "[yāt lūk gāu]" "(like a log)to be dim-witted, to be slow, to be dull, to be ""a big lump"""    
一物治一物，糯米治木虱 一物治一物，糯米治木蝨 "[yāt maht jih yāt maht, noh máih jih muhk sāt]" "(one thing rules over another, glutinous rice over bed-bugs)everything or everyone has something that dominates or constrains it."    
一面屁 一面屁 "[yāt mihn pei]" "(one face fart)to feel humiliated" " to be humiliated by someone"   
一眼关七 一眼關七 "[yāt ngáahn gwāan chāt]" "(one eye following seven things)to be on the alert, to be ""on the look-out"""    
一五一十 一五一十 "[yāt ńgh yāt sahp]" "with all the details, in full, with nothing left out (e.g. of an account of some incident)"    
一疋布咁长 一疋布咁長 "[yāt pāt bou gam chèuhng]" "(as long as a roll of cloth)used to preface a lengthy explanation or account, ""it's a long story"""    
一仆一碌 一仆一碌 "[yāt pūk yāt lūk]" "(one falls and one rolls)to be in a great hurry"    
一扑一碌 一扑一碌 "[yāt pūk yāt lūk]" "(one falls and one rolls)to be in a great hurry"    
一身蚁 一身蟻 "[yāt sān ngáih]" "(whole body ants)to get into trouble, to be in serious trouble"    
一手一脚 一手一腳 "[yāt sáu yāt geuk]" "(one hand one foot)to be on one's own"    
一试便知龙与鳯 一試便知龍與鳯 "[yāt si bihn jī lùhng yúh fuhng]" "(as soon as you try, you will ses whether it is a dragon or a phoenix)the truth will be revealed upon a test, ""the proof of the pudding is in the eating""."    
一时口快 一時口快 "[yāt sìh háu faai]" "to speak too quickly, i.e. to say the wrong thing"    
一时唔偷鸡做保长 一時唔偷雞做保長 "[yāt sìh m4 tāu gāi jouh bóu jéung]" "(just for once one does not steal a chicken, one becomes the head of the clan)used to criticise or to tease somebody who has always been misbehaved, but who has done something decent for once and is absurdly proud of it."    
一时一样 一時一樣 "[yāt sìh yāt yeuhng]" "always changing one's mind, fickle"    
一头雾水 一頭霧水 "[yāt tàuh mouh séui]" "confused, not having any idea"    
一头烟 一頭煙 "[yāt tàuh yīn]" "extremely busy"    
一天光晒 一天光晒 "[yāt tīn gwōng saai]" "(the sky all bright)used to convey that the trouble has passed"    
一条龙 一條龍 "[yāt tìuh lùhng]" "(dragon)1. a way of organising education such that children move from primary to middle and high school in the same institution2. a complete service, available under one roof or at one location"    
一肚气 一肚氣 "[yāt tóuh hei]" "to be angry"    
一镬炒起 一鑊炒起 "[yāt wohk cháau héi]" "to destroy, to smash"    
一镬粥 一鑊粥 "[yāt wohk jūk]" "(one wok of congee)a chaotic situation" " an unmanageable situation"   
一镬泡 一鑊泡 "[yāt wohk póuh]" "(one wok foam)a chaotic situation" " an unmanageable situation"   
一镬熟 一鑊熟 "[yāt wohk suhk]" "(one wok cooked)nothing left, utterly destroyed"    
一皇多后 一皇多后 "[yāt wòhng dō hauh]" "(one kong more queens)1. one man and two or more woman having sex2. a man accompanied by two or more prostitutes"    
一皇两后 一皇兩后 "[yāt wòhng léuhng hauh]" "(one king two queens)1. one man and two women having sex2. a man accompanied by two prostitutes, a man having sex with two prostitutes"    
一皇双后 一皇雙后 "[yāt wòhng sēung hauh]" "(one king two queens)1. one man and two women having sex2. a man accompanied by two prostitutes, a man having sex with two prostitutes"    
一人计短，二人计长 一人計短，二人計長 "[yāt yàhn gai dyún, yih yàhn gai chèuhng]" "(one person's strategy is short, two people's strategy is long)by cooperating one can achieve more, ""two heads are better than one""."    
一人行一步 一人行一步 "[yāt yàhn hàahng yāt bouh]" "(each takes one step)to compromise, to have both sides make a concession"    
一夜情 一夜情 "[yāt yeh chìhng]" "a one-night-stand, a one-time casual sexual encounter"    
一样米样百样人 一樣米樣百樣人 "[yāt yeuhng máih yéuhng baak yeuhng yàhn]" "(one kind of rice feeds a hundred kinds of people)there are all kinds of people in the world (often used when commenting on someone's character)."    
一言惊醒梦人 一言驚醒夢人 "[yāt yìhng gīng síng muhng jūng yàhn]" "(one word wakening someone in dream)used to describe a person suddenly becoming clear-mided upon listening to a word of wisdom."    
游 遊 [yàuh] "to travel"    
游车河 遊車河 "[yàuh chē hó]" "to drive around for pleasure, to go for a drive"    
游埠 遊埠 "[yàuh fauh]" "to go on a trip"    
游魂 遊魂 "[yàuh wàhn]" "(wandering ghosts)to day-dream, to be inattentive (e.g. in class)"    
游 游 [yàuh] "to swim"    
游鸡 游雞 "[yàuh gāi]" "a loiterer, someone loitering or charged with the offence of loitering (police jargon)"    
游乾水 游乾水 "[yàuh gōn séui]" "(to swim in dry water) to play mahjong"    
由得 由得 "[yàuh dāk]" "....forget..., nevermind..., ignore..."    
油 油 [yàuh] oil    
油菜 油菜 "[yàuh choi]" "boiled vegetable"    
油鸡 油雞 "[yàuh gāi]" "1. soy sauce chicken2. to loiter"    
油浸黄花雀 油浸黄花雀 "[yàuh jam wòhng fāa jeuk]" "a sexual service offered by a prostitute in which the penis is covered in oil and massaged until orgasm."    
油浸禾花雀 油浸禾花雀 "[yàuh jam wòh fāa jeuk]" "a sexual service offered by a prostitute in which the penis is covered in oil and massaged until orgasm."    
油脂仔 油脂仔 "[yàuh jī jái]" "young hooligans, ""teddy boys"" (from the Chinese name of the film ""Grease"")"    
油尖旺 油尖旺 "[yàuh jī wohng]" "the commercial and residential urban areas of central Kowloon, i.e. Tsim Sha Tsui, Yau Ma Tei and Mongkok."    
油瓶仔 油瓶仔 "[yàuh péng jái]" "(oil bottle boy)a stepson"    
油瓶女 油瓶女 "[yàuh péng néui]" "(oil bottle girl)a step-daughter"    
油水 油水 "[yàuh séui]" "1. commission2. profitable3. riches, wealth, profits"    
油水地 油水地 "[yàuh séui deih]" "a place or an area which offeres many possibilities for making money"    
友 友 [yáuh] "a friend  [yáu] an informal way of referring to someone, ""that bloke"", ""that guy""."    
友仔 友仔 "[yáu jái]" "an informal way of referring to someone, ""that bloke"", ""that guy""."    
嗰条友仔 嗰條友仔 "[gó tìuh yáu jái]" "an informal way of referring to someone, ""that bloke"", ""that guy""."    
有 有 [yáuh] "1. to have2. to have money, to be rich"    
有病 有病 "[yáuh behng]" "1. to be ill2. crazy, out of control"    
有波有箩 有波有籮 "[yáuh bō yáuh lō]" "(have breasts have ass)to have sexy figure (""good boobs and a good ass"")."    
有背㬌人士 有背㬌人士 "[yáuh bui gíng yàhn sih]" "(have background people)a person/people who have a triad background, a person/people with triad connections"    
有分寸 有分寸 "[yáuh fān chyun]" "to be reasonable, to follow the rules, to be moderate (behaviour)"    
